ID,medv
3,32.58065040620501
6,24.218487078154226
8,16.643999144339208
9,15.872368169609365
10,17.5582186985376
18,19.415371500986147
20,20.576044691922423
25,16.353539035374588
26,16.177128167523335
27,18.95165434000661
29,20.105807465563338
30,21.48782755956401
33,16.66531164502037
34,15.974424118961931
36,21.65291678196215
37,21.013962429882643
38,22.70870718345752
42,29.623143333628978
49,16.84772872992461
53,24.0596861790886
60,22.517253984244583
63,23.7125305957643
70,22.617098112994363
72,21.473595511350094
79,20.84907382901932
80,22.57230929457497
83,23.621279126918708
92,23.067997540270134
93,23.06220978688888
96,26.658635173397304
98,43.4784816027835
99,43.83809981120269
100,33.53680147461775
105,20.6091410750937
106,17.32070142262095
111,20.53759640693496
113,17.357444563524904
114,16.897420079395015
116,18.864367896478004
126,19.536867451797942
130,15.986748139432413
131,20.281710102243707
133,20.727191446877118
136,16.615583479703535
141,15.49063861376386
144,14.586586217073819
145,14.545274941437455
147,15.556435922982654
152,20.614384065852043
153,21.240783709508268
156,17.64205212518849
158,30.57271358066753
163,47.62824373691582
169,21.298600575680517
185,21.06076427560015
186,21.544733580509206
189,27.17210680290995
196,45.93801303776618
197,33.01193047845323
199,32.6756583729303
200,32.48203817863622
203,44.556919808201414
208,19.374344313809825
210,16.961312555361026
211,18.313011945300964
213,20.078048853613122
216,23.02611800569744
218,23.33087839354191
219,17.44939314972723
220,21.439994052847403
221,27.348017020949758
229,42.68371202418075
232,34.61000383783371
238,32.939003967144714
239,23.777687297607486
240,26.355845382395888
242,20.988357763105384
246,19.06879361738271
248,21.10154366769364
253,31.542125918612886
255,22.78121216944374
256,21.924204265352536
257,37.51690458846994
258,47.14448776493941
259,34.01829707216638
260,30.029304025180423
268,44.30010618460396
270,20.868818542926373
271,20.588378729670865
276,31.177058769604006
277,33.37955804915286
278,30.94833656510589
279,23.76487928993853
281,45.90304804286753
288,23.615863333516792
290,25.109393083717976
292,32.98712613974302
295,21.06459709173237
296,26.45086047224585
299,24.099431257079672
300,33.25446736645132
301,30.67144666094248
308,30.7441962849731
314,22.825811749910518
315,24.567330594457854
320,20.53598354330071
322,23.711716911011965
323,23.045865944498974
324,20.645041094536566
327,23.705426683926262
330,23.658739861211313
332,20.622473653533294
333,21.963048045917954
336,22.373031776864128
338,20.7428813997782
346,20.806734919195446
347,20.447071400422523
351,23.130522118639536
352,26.6422634483954
354,30.398677981373236
355,22.352371641135342
356,23.205653919697212
362,20.556478442524572
364,19.10493044190002
365,45.827887257009
370,42.06321915933723
376,25.47361939928998
379,12.1145101831453
380,12.281197666788097
381,17.010685892589166
382,12.351417660247696
386,9.40229571835104
389,9.13636933935016
391,14.78493082980915
394,16.72787504423971
396,14.186796238175878
398,14.154588779339838
400,12.360984697441726
403,13.051198469399118
405,8.495584627983527
406,9.22029276938971
407,12.373639526742755
410,15.879854245647701
411,24.1371267579683
412,13.111823862619293
413,12.034309667009744
417,12.272134179193152
421,17.114630378564797
422,17.282837191337318
423,20.277664918932235
424,14.494254951083402
427,15.208113618985115
431,14.735317365015318
436,12.367194511667797
437,12.399299463417824
439,9.38225264964744
447,15.53213224994807
450,15.088495211246842
451,15.412769930592619
455,14.743697584849183
457,15.888875546103403
471,17.106424409955537
474,25.291553918931186
476,14.859733809957948
483,29.663607216232098
486,21.02182133138366
490,13.330645973769478
495,20.455660187566437
496,18.630425931949322
497,17.72988975866756
499,20.49293557581921
501,20.35687336826692
505,26.7675638958453
